設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F04用)	F01:ラベル	F02:ラベル	F03:ラベル	F04:チェックボックス	F05:ラベル
-1	1	"2,3,4,6"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	県公安委員会は24日、新委員長に富山商工会議所会頭の高木繁雄委員(66)を選び、発表した。委員3人の互選。任期は同日から1年。	国対協の新委員長に高木氏@新委員長に高木氏　県公安委員会発表@県公安委員長に高木氏@県の新公安委員長に高木繁雄氏@県公安委員に高木氏@県公安委員長に高木氏	
-2	1	"1,2,3,5,6"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	横浜市は新年度、津波避難タワーの設計を始める。2013年度当初予算案に2千万円計上した。14年度中に市内初となるタワーを金沢区の2カ所に建設する方針だ。	津波避難タワー建設　金沢区に2カ所　市、14年度@津波避難タワー、設計へ　横浜市、金沢区に建設へ@津波タワー設計に2000万円計上　横浜市の新年度予算案@東京・金沢区に初タワー建設へ　津波避難タワー設計　横浜市当初予算案@津波避難タワーの設計開始へ　横浜市、金沢区に建設へ@津波避難タワー、2カ所に　横浜市、金沢区に建設へ	
-3	1	"1,2,3,4,5"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	警察官や消防士、自衛官らの社会貢献をたたえる危険業務従事者叙勲が内閣府から発表され、県内からは26人が選ばれた。発令は29日付。受章者は次のみなさん。	雇用情勢受章、県内から26人@県内26人が受章　危険業務従事者叙勲@危険業務従事者叙勲、県内から26人@危険業務従事者叙勲に26人　内閣府発表@県内の26人受章　危険業務従事者叙勲@公立高の2年生まで叙勲受章者	
-4	1	"1,4"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	玉井?五一さん(たまい・ごいち=元創樹社編集長)5月28日死去、88歳。葬儀は親族で営まれた。	玉井五一さん死去@三井五一さん死去@新社長に　玉井五一さん死去@玉井五一さん死去@木野五一さん死去@JR東・玉井五一さん死去	
-5	1	"1,2,5,6"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	6月13日告示、20日投開票の尾花沢市議補選(被選挙数3)の立候補予定者説明会が25日、同市役所であり、立候補予定者3人と代理1人の4陣営が出席した。	説明会に4陣営　尾花沢市議補選@尾花沢市議補選で説明会、4陣営が出席@中学3年の説明会、4陣営が出席　尾花沢市議補選@ひったくり説明会に4陣営@尾花沢市議補選説明会に4陣営出席@尾花沢市議補選の説明会に4陣営	
-6	1	"2,3,4"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	西尾市教育委員会は1日、臨時委員会を開き、会社役員の鈴木雅子さん(49)を委員長に選んだ。女性の委員長就任は同市初。	日本初の女性委員長就任　西尾市教委発表@女性委員長を選出　西尾市教委@初の女性委員長、鈴木さんを選任　西尾市教育委員会@西尾市教育委員長に女性@全ての女性委員長決定　西尾市教委@JR東・西尾市教育委員長に女性	
-7	1	"1,2,3"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	歌手の布施明さん(65)と、歌手の森川由加里さん(50)が結婚した。2人がそれぞれの公式ホームページで15日に発表した。	布施明さんと森川由加里さんが結婚@布施明さん・森川由加里さん、結婚@布施明さん・森川由加里さん結婚@故・布施明さんと森川由加里さん結婚@夏の結婚発表　布施明さん・森川由加里さん@布施明さん・森川由里さんが結婚	
-8	1	"1,3,5"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	亀岡市議会は9月定例会最終日の3日、議員定数を2議席減らし、24とする条例改正案を賛成多数で可決した。来年1月の市議選から適用される。保守系と公明党の計4会派の共同提案。	亀岡市議会で定数2議席減　来年1月適用@新聞社系と公明、2議席を削減　亀岡市議会@亀岡市議会、定数2減@新聞社の定数削減可決　亀岡市議会@定数削減案を可決　亀岡市議会@参院選から適用、亀岡市議会可決	
-9	1	2	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	北名古屋市議会は21日の定例会本会議で、議員定数を現在の24から21に削減する条例改正案を賛成多数で可決した。同市議の任期は2014年4月22日までで、次回の市議選から適用される。	「定数2減」北名古屋市議会可決@北名古屋市議数、3減@北名古屋の議員定数2減@ロシア市議定数を21に削減へ　北名古屋市議会可決@北名古屋市議会、定数2減の条例案を可決@北名古屋市議会、定数2減を可決	
-10	1	"2,4,5,6"	記事の内容だけをもとに書かれている見出しを全てチェックしてください。	記事	日本民間放送連盟は2日、3月末で任期満了を迎える広瀬道貞会長(テレビ朝日顧問)の続投を内定した。3月の民放連総会で正式に決定する。任期は4月から2年。	JB会長に広瀬氏再任へ@日本民間放送連盟の広瀬会長が続投へ@広瀬会長の続投内定　民放連、来月正式決定へ@広瀬会長の続投内定　民放連@広瀬・民放連会長の続投が内定@広瀬会長の続投内定　民放連盟発表	
