設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F04用)	F01:ラベル	F02:ラベル	F03:ラベル	F04:チェックボックス	F05:ラベル
0	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	あきらめきれないこと。誰しも一つはあるだろう。都内などで活動する臨床心理士の竹之下桃子さん(58)も、30年前からずっと心の底にあった。	30年ぶり俳優カムバック　「沢井桃子」さん、臨床心理士と二足のわらじ@臨床心理士・竹之下桃子さん　心の底に残る命@不屈の臨床心理士　竹之下桃子さん@おばちゃんと生きる　都内の臨床心理士、竹之下桃子さん@私も私も生きる　竹之下桃子さん@30年、心の底で生きる　臨床心理士・竹之さん	
1	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	相生市選管は8日、6月13日の任期満了に伴う市長選を、5月13日告示、20日投票と決めた。候補者説明会は4月6日にある。	相生市長選は5月20日投票@小さくやって相生市長選、5月20日投票@相生市長選、5月13日告示に@相生市長選、5月20日投票@車の行方市長選挙、5月20日投票に@春の陣、20日に投票　相生市長選、5月13日告示	
2	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	大学入試センター試験が15日始まった。県内でも23大学27会場で、受験生が1日目の試験に臨んだ。今年度の志願者は2万7730人で、前年度より320人増えた。	センター試験、志願者は2万7730人　県内27会場で始まる@夢へ挑戦、いざ本番　センター試験、志願者2万7730人@受験生、現実志向強く　近い、安い、就職有利　センター試験@センター試験、志願者2万7730人　1日目、27会場で開始@県内の志願者数、320人増の2万7730人　センター試験初日@センター試験、志願者2万7730人に	
3	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	2連勝の福岡が首位に浮上。東京ヴは最下位の水戸に大敗し、7連敗。水戸は12試合目で今季、初勝利となった。	東京ヴ7連敗、福岡が首位　サッカーJ2　3日@日本リーグ1勝1敗に　サッカーJ2　25日@鹿児島圧勝　サッカーJ2　15日@福岡、首位浮上　サッカーJ2　1日@北九州初勝利　サッカーJ1@J1昇格へ福岡が首位浮上　サッカーJ2　11日	
4	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	サッカーJ2の栃木SCが宇都宮市内にクラブハウスを建設する。水沼富美男社長が22日、正式に発表した。6月中旬に着工し、10月末に完成する予定だ。	夢追いクラブハウス　栃木SC、6月中旬着工　サッカーJ2@地元にクラブハウス　栃木SC、来月着工　サッカーJ2@古巣・宇都宮にクラブハウス　サッカーJ2・栃木SCが建設発表@プロの足技でJ2目指す　栃木SCがクラブハウス建設発表　サッカー@栃木SCがクラブハウス建設　10月末に完成予定@栃木SC、クラブハウス建設へ　サッカーJ2	
5	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	県公安委員会は24日、新委員長に富山商工会議所会頭の高木繁雄委員(66)を選び、発表した。委員3人の互選。任期は同日から1年。	国対協の新委員長に高木氏@新委員長に高木氏　県公安委員会発表@県公安委員長に高木氏@県の新公安委員長に高木繁雄氏@県公安委員に高木氏@県公安委員長に高木氏	
6	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	横浜市は新年度、津波避難タワーの設計を始める。2013年度当初予算案に2千万円計上した。14年度中に市内初となるタワーを金沢区の2カ所に建設する方針だ。	津波避難タワー建設　金沢区に2カ所　市、14年度@津波避難タワー、設計へ　横浜市、金沢区に建設へ@津波タワー設計に2000万円計上　横浜市の新年度予算案@東京・金沢区に初タワー建設へ　津波避難タワー設計　横浜市当初予算案@津波避難タワーの設計開始へ　横浜市、金沢区に建設へ@津波避難タワー、2カ所に　横浜市、金沢区に建設へ	
7	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	警察官や消防士、自衛官らの社会貢献をたたえる危険業務従事者叙勲が内閣府から発表され、県内からは26人が選ばれた。発令は29日付。受章者は次のみなさん。	雇用情勢受章、県内から26人@県内26人が受章　危険業務従事者叙勲@危険業務従事者叙勲、県内から26人@危険業務従事者叙勲に26人　内閣府発表@県内の26人受章　危険業務従事者叙勲@公立高の2年生まで叙勲受章者	
8	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	29日午後7時10分ごろ、JR高徳線オレンジタウン駅を高松行きの普通列車が通過、バックで戻った。特急など後続に影響が出た。	“お帰り”JR高徳線、列車が通過し戻る　高松@JR高徳線の列車がバックで停車、特急などに影響　高松@JR高徳線が通過、列車がバックで戻る@列車にはねられる　JR高徳線オレンジタウン駅通過@JR列車がオーバーラン　高徳線オレンジタウン駅@JR高徳線で列車通過	
9	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	衆院選が始まり、政党や候補者は支持拡大に懸命だ。原発、憲法、消費増税、景気対策......。あなたが重視している政策テーマは何ですか。	政策、あなたが重視　総選挙公示まであと2日@政策、あなたが重視　衆院選@争点は　政策、あなたが重視　総選挙@震災対策・原発・景気...重視する政策は?@有権者に聞く　1区・2区　衆院選@有権者、何を重視　「生活できる年金を」「福祉充実して」　衆院選	
10	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	東京六大学野球リーグの立大は2日、大塚淳人監督(53)の後任として、OBの溝口智成氏(46)が新監督に就任すると発表した。	立大監督に溝口氏　東京六大学野球@立大新監督に溝口氏　野球@東北学院大の新監督を発表　東京六大学野球リーグの立大@千葉・溝口氏が東京六大学野球の立大監督に@元東六大学野球監督の溝口氏が立大監督に@中村新監督が就任　東京六大学野球リーグ・立大	
11	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	玉井▁五一さん(たまい・ごいち=元創樹社編集長)5月28日死去、88歳。葬儀は親族で営まれた。	玉井五一さん死去@三井五一さん死去@新社長に　玉井五一さん死去@玉井五一さん死去@木野五一さん死去@JR東・玉井五一さん死去	
12	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	第36回全日本おかあさんコーラス東京支部大会を開きます。82団体が出場。8団体が8月24、25日に大阪・フェスティバルホールで開かれる全国大会に推薦されます。	ベルマーク運動説明会　来月2日、東京で@都マーチングコンテスト開催　9月7日、府中の森芸術劇場で@アキバ・コール・コールドカップ　おかあさんコーラス東京支部大会@おかあさんコーラス東京支部大会　来月、東京・府中で@おかあさんコーラス東京支部大会　府中で26日・来月2日@第36回全日本おかあさんコーラス東京支部大会	
13	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	6月13日告示、20日投開票の尾花沢市議補選(被選挙数3)の立候補予定者説明会が25日、同市役所であり、立候補予定者3人と代理1人の4陣営が出席した。	説明会に4陣営　尾花沢市議補選@尾花沢市議補選で説明会、4陣営が出席@中学3年の説明会、4陣営が出席　尾花沢市議補選@ひったくり説明会に4陣営@尾花沢市議補選説明会に4陣営出席@尾花沢市議補選の説明会に4陣営	
14	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	鹿児島市で24日未明、初雪が観測された。鹿児島地方気象台によると、午前0時すぎから午前3時ごろにかけて観測した。積もってはいないという。	鹿児島市で初雪　県内に大雪の波@「ブルブル」鹿児島市で初雪観測@鹿児島で初雪観測　平年より9日早く@鹿児島市で初雪観測@鹿児島市で初積雪@「ブルブル」鹿児島市で初雪	
15	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	2012年10月に予定されている第74回全国都市問題会議の開催地が盛岡市に決まった。同市での開催は初めて。谷藤裕明市長が5日の定例会見で発表した。	盛岡市で全国都市問題会議を開催へ@「全国都市問題会議」盛岡に　2012年開催地決定@地域主権へ提言も　全国都市問題会議、盛岡で開催決定@国有地盛岡に全国都市問題会議　2012年予定@全岩手で全国都市問題会議を開催@全国都市問題会議、盛岡に来年10月	
16	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	26日に告示される東みよし町議補選(被選挙数3)の立候補予定者説明会が6日、町役場であり、新顔6人の本人や代理人と候補者未定の3陣営が出席した。	東みよし町議補選説明会に9陣営@東みよし町議補選の説明会に3陣営@東みよし町議補選の説明会は3陣営@新町議説明会に3陣営　東みよし町議補選@東みよし町議補選の説明会に3陣営出席@新町議説明会、3陣営が出席　東みよし町議補選	
17	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	9月6日、山田町議選が投開票された。14の議席を19人で争った。鈴木宏子さんの得票は230票。	鈴木宏子さん:14　「町のため」の訴え@選挙編　鈴木宏子さん:6@グローブ16号鈴木宏子さんの死@山田町議選@鈴木宏子さん:4　230票の得票、気になる思いも@南山隆之さん:8　山田町議選、得票230票@鈴木宏子さん:2　「町のため」思い託し	
