設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F04用)	F01:ラベル	F02:ラベル	F03:ラベル	F04:チェックボックス	F05:ラベル
-1	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事	相生市選管は8日、6月13日の任期満了に伴う市長選を、5月13日告示、20日投票と決めた。候補者説明会は4月6日にある。	南詰新議長を選出_西脇市議会@議長に北詰氏 、副議長広田氏_西脇市議会@福井・西脇市議会の正副議長決まる@西脇市議会議長に北詰氏	
-2	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-3	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-4	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-5	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-6	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-7	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-8	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-9	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-10	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-11	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-12	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-13	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-14	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-15	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-16	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-17	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-18	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-19	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
-20	1		記事の内容だけをもとに書かれている見出しをチェックしてください。	記事			
