,iteration,accuracy,subject,series
0,0,0.7966666666666666,0,accuracy
1,1,0.4266666666666667,0,accuracy
2,2,0.295,0,accuracy
3,3,0.405,0,accuracy
4,4,0.31833333333333336,0,accuracy
5,5,0.2866666666666667,0,accuracy
6,6,0.23333333333333334,0,accuracy
7,7,0.27,0,accuracy
8,8,0.21166666666666667,0,accuracy
9,9,0.22833333333333333,0,accuracy
10,10,0.39666666666666667,0,accuracy
11,11,0.22166666666666668,0,accuracy
12,12,0.205,0,accuracy
13,13,0.16333333333333333,0,accuracy
14,14,0.20333333333333334,0,accuracy
15,15,0.41333333333333333,0,accuracy
16,16,0.2783333333333333,0,accuracy
17,17,0.18833333333333332,0,accuracy
18,18,0.17333333333333334,0,accuracy
19,19,0.19666666666666666,0,accuracy
20,20,0.18833333333333332,0,accuracy
21,21,0.17666666666666667,0,accuracy
22,22,0.20833333333333334,0,accuracy
23,23,0.53,0,accuracy
24,24,0.22166666666666668,0,accuracy
25,25,0.475,0,accuracy
26,26,0.325,0,accuracy
27,27,0.245,0,accuracy
28,28,0.23833333333333334,0,accuracy
29,29,0.2,0,accuracy
30,30,0.26166666666666666,0,accuracy
31,31,0.43833333333333335,0,accuracy
32,32,0.18833333333333332,0,accuracy
33,33,0.3983333333333333,0,accuracy
34,34,0.23166666666666666,0,accuracy
35,35,0.40166666666666667,0,accuracy
36,36,0.2633333333333333,0,accuracy
37,37,0.235,0,accuracy
38,38,0.3983333333333333,0,accuracy
39,39,0.23,0,accuracy
40,40,0.19666666666666666,0,accuracy
41,41,0.22,0,accuracy
42,42,0.21666666666666667,0,accuracy
43,43,0.22166666666666668,0,accuracy
44,44,0.19,0,accuracy
45,45,0.18166666666666667,0,accuracy
46,46,0.155,0,accuracy
47,47,0.5033333333333333,0,accuracy
48,48,0.185,0,accuracy
49,49,0.17833333333333334,0,accuracy
50,50,0.17166666666666666,0,accuracy
51,51,0.35333333333333333,0,accuracy
52,52,0.185,0,accuracy
53,53,0.48333333333333334,0,accuracy
54,54,0.23833333333333334,0,accuracy
55,55,0.19666666666666666,0,accuracy
56,56,0.21166666666666667,0,accuracy
57,57,0.41833333333333333,0,accuracy
58,58,0.21166666666666667,0,accuracy
59,59,0.23,0,accuracy
60,60,0.21333333333333335,0,accuracy
61,61,0.19666666666666666,0,accuracy
62,62,0.15333333333333332,0,accuracy
63,63,0.18166666666666667,0,accuracy
64,64,0.16,0,accuracy
65,65,0.6616666666666666,0,accuracy
66,66,0.4816666666666667,0,accuracy
67,67,0.21166666666666667,0,accuracy
68,68,0.30666666666666664,0,accuracy
69,69,0.21,0,accuracy
70,70,0.19166666666666668,0,accuracy
71,71,0.15666666666666668,0,accuracy
72,72,0.455,0,accuracy
73,73,0.2,0,accuracy
74,74,0.29,0,accuracy
75,75,0.21333333333333335,0,accuracy
76,76,0.18833333333333332,0,accuracy
77,77,0.26666666666666666,0,accuracy
78,78,0.22666666666666666,0,accuracy
79,79,0.20666666666666667,0,accuracy
80,80,0.165,0,accuracy
81,81,0.49333333333333335,0,accuracy
82,82,0.21333333333333335,0,accuracy
83,83,0.17833333333333334,0,accuracy
84,84,0.17833333333333334,0,accuracy
85,85,0.46166666666666667,0,accuracy
86,86,0.3566666666666667,0,accuracy
87,87,0.21166666666666667,0,accuracy
88,88,0.19833333333333333,0,accuracy
89,89,0.255,0,accuracy
90,90,0.38666666666666666,0,accuracy
91,91,0.24,0,accuracy
92,92,0.225,0,accuracy
93,93,0.20666666666666667,0,accuracy
94,94,0.18666666666666668,0,accuracy
95,95,0.21333333333333335,0,accuracy
96,96,0.19833333333333333,0,accuracy
97,97,0.5,0,accuracy
98,98,0.19166666666666668,0,accuracy
99,99,0.19333333333333333,0,accuracy
100,0,0.44833333333333336,0,smoothed accuracy
101,1,0.42138888888888887,0,smoothed accuracy
102,2,0.39452380952380955,0,smoothed accuracy
103,3,0.37895833333333334,0,smoothed accuracy
104,4,0.36037037037037034,0,smoothed accuracy
105,5,0.3471666666666667,0,smoothed accuracy
106,6,0.30716666666666664,0,smoothed accuracy
107,7,0.2866666666666666,0,smoothed accuracy
108,8,0.2776666666666666,0,smoothed accuracy
109,9,0.25349999999999995,0,smoothed accuracy
110,10,0.2419999999999999,0,smoothed accuracy
111,11,0.25466666666666654,0,smoothed accuracy
112,12,0.25916666666666655,0,smoothed accuracy
113,13,0.2509999999999999,0,smoothed accuracy
114,14,0.2471666666666666,0,smoothed accuracy
115,15,0.2439999999999999,0,smoothed accuracy
116,16,0.2231666666666666,0,smoothed accuracy
117,17,0.21866666666666662,0,smoothed accuracy
118,18,0.21899999999999994,0,smoothed accuracy
119,19,0.25566666666666665,0,smoothed accuracy
120,20,0.2575,0,smoothed accuracy
121,21,0.26366666666666666,0,smoothed accuracy
122,22,0.26833333333333337,0,smoothed accuracy
123,23,0.274,0,smoothed accuracy
124,24,0.2805,0,smoothed accuracy
125,25,0.2808333333333334,0,smoothed accuracy
126,26,0.2881666666666667,0,smoothed accuracy
127,27,0.31433333333333335,0,smoothed accuracy
128,28,0.31233333333333335,0,smoothed accuracy
129,29,0.2991666666666667,0,smoothed accuracy
130,30,0.3001666666666667,0,smoothed accuracy
131,31,0.2928333333333334,0,smoothed accuracy
132,32,0.2866666666666667,0,smoothed accuracy
133,33,0.2856666666666666,0,smoothed accuracy
134,34,0.30166666666666664,0,smoothed accuracy
135,35,0.30466666666666664,0,smoothed accuracy
136,36,0.29816666666666664,0,smoothed accuracy
137,37,0.2763333333333333,0,smoothed accuracy
138,38,0.2791666666666667,0,smoothed accuracy
